id;full_name;timezone;phone;status
1;freewheel yahoo;once considering knowledgeably;(309) 275-1818 x95545;for ugh yet
2;yearly or;excluding exult towards;994-511-4405;clumsy out
3;instead woefully chit-chat;abaft moist;(532) 984-3677 x979;furthermore corporation unbearably
4;how;qua;1-405-648-4139 x76459;unless where onto
5;what;huzzah fairly huzzah;1-370-953-8115 x89030;sweat combat
6;following or bunch;spear noted blah;875.404.0143 x029;below
7;dolphin underneath whether;hitchhike wallow;759-411-0082;excepting
8;on scrape tee;backcomb mid;(518) 256-1244;novel eek meanwhile
9;since debit because;octagon even unplug;719.331.4123 x88407;vice
10;upright;smoothly notwithstanding because;1-954-616-3308;daily
